ID,MONTHS_BALANCE,STATUS
5000024,-11,C
5000024,-12,C
5000024,-13,C
5000024,-14,1
5000024,-15,C
5000024,-16,0
5000024,-17,X
5000024,-18,C
5000025,0,0
5000025,-1,2
5000025,-2,C
5000025,-3,X
5000025,-4,X
5000025,-5,X
5000025,-6,X
5000025,-7,X
5000025,-8,C
5000025,-9,X
5000025,-10,C
5000025,-11,C
5000026,0,X
5000026,-1,C
5000026,-2,C
5000026,-3,X
5000026,-4,C
5000026,-5,X
5000026,-6,C
5000026,-7,C
5000026,-8,X
5000026,-9,X
5000026,-10,C
5000026,-11,C
5000026,-12,C
5000026,-13,C
5000026,-14,C
5000026,-15,X
5000026,-16,C
5000027,0,X
5000027,-1,C
5000027,-2,C
5000027,-3,X
5000027,-4,C
5000027,-5,X
5000028,0,X
5000028,-1,X
5000028,-2,X
5000028,-3,C
5000028,-4,C
5000028,-5,X
5000028,-6,X
5000028,-7,X
5000028,-8,1
5000028,-9,X
5000028,-10,X
5000028,-11,X
5000029,0,C
5000029,-1,C
5000029,-2,C
5000029,-3,X
5000029,-4,X
5000029,-5,X
5000029,-6,X
5000029,-7,X
5000030,0,C
5000030,-1,X
5000030,-2,X
5000030,-3,X
5000030,-4,X
5000030,-5,X
5000030,-6,C
5000030,-7,0
5000030,-8,C
5000030,-9,X
5000030,-10,X
5000030,-11,X
5000030,-12,1
5000030,-13,X
5000030,-14,X
5000030,-15,C
5000031,0,X
5000031,-1,X
5000031,-2,0
5000031,-3,C
5000031,-4,1
5000031,-5,X
5000031,-6,X
5000031,-7,C
5000031,-8,X
5000031,-9,C
5000031,-10,X
5000031,-11,C
5000031,-12,C
5000031,-13,X
5000031,-14,X
5000031,-15,1
5000032,0,C
5000032,-1,C
5000032,-2,X
5000032,-3,X
5000032,-4,C
5000032,-5,C
5000033,0,X
5000033,-1,X
5000033,-2,C
5000033,-3,C
5000033,-4,C
5000033,-5,X
5000033,-6,X
5000033,-7,X
5000033,-8,C
5000033,-9,X
5000034,0,C
5000034,-1,C
5000034,-2,C
5000034,-3,C
5000034,-4,C
5000034,-5,C
5000034,-6,X
5000035,0,X
5000035,-1,X
5000035,-2,X
5000035,-3,C
5000035,-4,X
5000035,-5,C
5000035,-6,C
5000035,-7,C
5000035,-8,X
5000035,-9,C
5000035,-10,X
5000035,-11,X
5000035,-12,X
5000035,-13,C
5000035,-14,X
5000035,-15,C
5000036,0,C
5000036,-1,C
5000036,-2,X
5000036,-3,C
5000036,-4,C
5000036,-5,C
5000036,-6,C
5000036,-7,C
5000036,-8,C
5000036,-9,X
5000036,-10,C
5000037,0,X
5000037,-1,X
5000037,-2,C
5000037,-3,C
5000037,-4,X
5000037,-5,X
5000037,-6,X
5000037,-7,X
5000037,-8,X
5000037,-9,X
5000037,-10,3
5000037,-11,C
5000037,-12,C
5000037,-13,C
5000038,0,X
5000038,-1,X
5000038,-2,X
5000038,-3,3
5000038,-4,X
5000038,-5,1
5000038,-6,4
5000038,-7,2
5000038,-8,X
5000038,-9,X
5000038,-10,X
5000038,-11,C
5000039,0,C
5000039,-1,C
5000039,-2,X
5000039,-3,X
5000039,-4,X
5000039,-5,C
5000039,-6,X
5000039,-7,C
5000039,-8,X
5000039,-9,C
5000039,-10,0
5000039,-11,C
5000039,-12,C
5000039,-13,C
5000039,-14,X
5000039,-15,C
5000039,-16,C
5000039,-17,X
5000039,-18,C
5000039,-19,X
5000040,0,X
5000040,-1,C
5000040,-2,X
5000040,-3,X
5000040,-4,X
5000040,-5,X
5000040,-6,X
5000040,-7,C
5000040,-8,X
5000040,-9,X
5000041,0,C
5000041,-1,X
5000041,-2,X
5000041,-3,0
5000041,-4,X
5000041,-5,C
5000041,-6,C
5000041,-7,X
5000041,-8,C
5000041,-9,X
5000041,-10,3
5000041,-11,X
5000041,-12,X
5000041,-13,C
5000041,-14,X
5000041,-15,C
5000041,-16,X
5000041,-17,X
5000041,-18,C
5000041,-19,C
5000042,0,C
5000042,-1,X
5000042,-2,C
5000042,-3,X
5000042,-4,C
5000042,-5,X
5000042,-6,C
5000042,-7,X
5000042,-8,C
5000042,-9,X
5000042,-10,X
5000042,-11,C
5000042,-12,C
5000043,0,C
5000043,-1,C
5000043,-2,X
5000043,-3,X
5000043,-4,3
5000043,-5,X
5000043,-6,C
5000043,-7,X
5000043,-8,C
5000043,-9,0
5000043,-10,X
5000043,-11,X
5000043,-12,0
5000043,-13,X
5000043,-14,X
5000043,-15,C
5000043,-16,1
5000043,-17,C
5000044,0,C
5000044,-1,X
5000044,-2,X
5000044,-3,C
5000044,-4,X
5000044,-5,C
5000045,0,C
5000045,-1,X
5000045,-2,C
5000045,-3,C
5000045,-4,X
5000045,-5,C
5000045,-6,0
5000045,-7,X
5000045,-8,C
5000045,-9,C
5000045,-10,C
5000045,-11,X
5000045,-12,X
5000045,-13,X
5000045,-14,X
5000046,0,X
5000046,-1,3
5000046,-2,0
5000046,-3,X
5000046,-4,X
5000046,-5,C
5000046,-6,X
5000046,-7,C
5000046,-8,X
5000046,-9,X
5000047,0,X
5000047,-1,X
5000047,-2,C
5000047,-3,C
5000047,-4,C
5000047,-5,C
5000047,-6,X
5000047,-7,X
5000047,-8,X
5000047,-9,C
5000047,-10,C
5000047,-11,C
5000047,-12,C
5000047,-13,C
5000047,-14,X
5000047,-15,X
5000047,-16,X
5000047,-17,C
5000047,-18,C
5000047,-19,X
5000047,-20,X
5000048,0,C
5000048,-1,X
5000048,-2,C
5000048,-3,X
5000048,-4,X
5000048,-5,X
5000048,-6,X
5000048,-7,X
5000048,-8,X
5000048,-9,C
5000048,-10,X
5000048,-11,C
5000049,0,C
5000049,-1,3
5000049,-2,X
5000049,-3,X
5000049,-4,0
5000049,-5,C
5000049,-6,C
5000049,-7,X
5000049,-8,X
5000049,-9,X
5000049,-10,X
5000050,0,3
5000050,-1,X
5000050,-2,C
5000050,-3,X
5000050,-4,X
5000050,-5,C
5000050,-6,X
5000050,-7,C
5000050,-8,C
5000050,-9,3
5000050,-10,X
5000050,-11,X
5000050,-12,X
5000050,-13,C
5000050,-14,X
5000050,-15,C
5000050,-16,X
5000050,-17,X
5000050,-18,3
5000050,-19,X
5000050,-20,X
5000050,-21,X
5000050,-22,C
5000051,0,C
5000051,-1,X
5000051,-2,X
5000051,-3,C
5000051,-4,C
5000051,-5,X
5000051,-6,X
5000051,-7,X
5000051,-8,2
5000051,-9,X
5000051,-10,C
5000051,-11,X
5000052,0,X
5000052,-1,C
5000052,-2,X
5000052,-3,3
5000052,-4,X
5000052,-5,X
5000052,-6,C
5000052,-7,X
5000052,-8,1
5000052,-9,2
5000052,-10,4
5000052,-11,X
5000052,-12,X
5000052,-13,X
5000053,0,C
5000053,-1,X
5000053,-2,X
5000053,-3,3
5000053,-4,C
5000053,-5,C
5000053,-6,1
5000053,-7,C
5000053,-8,C
5000053,-9,1
5000053,-10,3
5000053,-11,C
5000053,-12,C
5000053,-13,X
5000053,-14,C
5000053,-15,C
5000054,0,X
5000054,-1,C
5000054,-2,X
5000054,-3,C
5000054,-4,C
5000054,-5,X
5000054,-6,X
5000054,-7,C
5000054,-8,X
5000054,-9,C
5000054,-10,C
5000054,-11,X
5000054,-12,C
5000055,0,C
5000055,-1,0
5000055,-2,0
5000055,-3,C
5000055,-4,X
5000055,-5,1
5000055,-6,X
5000055,-7,X
5000055,-8,5
5000055,-9,X
5000055,-10,C
5000055,-11,X
5000055,-12,C
5000055,-13,C
5000055,-14,X
5000055,-15,X
5000055,-16,X
5000055,-17,C
5000055,-18,X
5000055,-19,X
5000056,0,X
5000056,-1,X
5000056,-2,X
5000056,-3,C
5000056,-4,X
5000056,-5,C
5000056,-6,X
5000056,-7,C
5000056,-8,C
5000056,-9,C
5000057,0,5
5000057,-1,C
5000057,-2,X
5000057,-3,X
5000057,-4,4
5000057,-5,C
5000057,-6,X
5000057,-7,C
5000057,-8,X
5000057,-9,C
5000057,-10,X
5000057,-11,X
5000057,-12,1
5000057,-13,X
5000057,-14,C
5000057,-15,X
5000057,-16,C
5000057,-17,X
5000057,-18,X
5000057,-19,X
5000058,0,X
5000058,-1,C
5000058,-2,X
5000058,-3,C
5000058,-4,C
5000058,-5,X
5000058,-6,X
5000058,-7,X
5000058,-8,X
5000058,-9,C
5000058,-10,C
5000058,-11,X
5000058,-12,C
5000058,-13,C
5000058,-14,X
5000058,-15,X
5000058,-16,X
5000058,-17,X
5000058,-18,1
5000058,-19,X
5000058,-20,C
5000059,0,C
5000059,-1,X
5000059,-2,1
5000059,-3,C
5000059,-4,X
5000059,-5,X
5000059,-6,X
5000059,-7,X
5000059,-8,X
5000059,-9,X
5000059,-10,X
5000059,-11,C
5000059,-12,0
5000059,-13,X
5000059,-14,C
5000059,-15,X
5000059,-16,3
5000059,-17,1
5000059,-18,C
5000059,-19,0
5000059,-20,X
5000059,-21,X
5000060,0,X
5000060,-1,C
5000060,-2,X
5000060,-3,C
5000060,-4,C
5000060,-5,C
5000060,-6,C
5000060,-7,X
5000060,-8,X
5000060,-9,X
5000060,-10,X
5000060,-11,C
5000060,-12,X
5000060,-13,X
5000060,-14,X
5000060,-15,X
5000060,-16,X
5000060,-17,X
5000060,-18,C
5000060,-19,X
5000060,-20,X
5000060,-21,C
5000060,-22,C
5000060,-23,X
5000061,0,C
5000061,-1,X
5000061,-2,C
5000061,-3,X
5000061,-4,X
5000061,-5,X
5000061,-6,X
5000061,-7,0
5000061,-8,X
5000061,-9,X
5000061,-10,0
5000061,-11,1
5000061,-12,X
5000061,-13,X
5000061,-14,X
5000061,-15,C
5000061,-16,X
5000061,-17,C
5000062,0,3
5000062,-1,C
5000062,-2,X
5000062,-3,C
5000062,-4,C
5000062,-5,C
5000062,-6,X
5000062,-7,C
5000062,-8,X
5000062,-9,C
5000062,-10,X
5000062,-11,X
5000062,-12,C
5000062,-13,C
5000062,-14,X
5000062,-15,X
5000062,-16,C
5000062,-17,X
5000062,-18,X
5000062,-19,X
5000062,-20,X
5000062,-21,X
5000063,0,C
5000063,-1,C
5000063,-2,X
5000063,-3,C
5000063,-4,X
5000063,-5,C
5000063,-6,C
5000063,-7,C
5000063,-8,C
5000063,-9,X
5000063,-10,X
5000064,0,C
5000064,-1,X
5000064,-2,X
5000064,-3,C
5000064,-4,C
5000064,-5,X
5000064,-6,X
5000064,-7,C
5000064,-8,X
5000064,-9,X
5000065,0,C
5000065,-1,X
5000065,-2,X
5000065,-3,X
5000065,-4,0
5000065,-5,C
5000065,-6,X
5000065,-7,C
5000065,-8,X
5000065,-9,X
5000065,-10,X
5000065,-11,X
5000065,-12,0
5000065,-13,C
5000065,-14,X
5000065,-15,C
5000065,-16,X
5000065,-17,C
5000065,-18,0
5000065,-19,3
5000065,-20,X
5000065,-21,C
5000065,-22,C
5000065,-23,X
5000066,0,X
5000066,-1,X
5000066,-2,C
5000066,-3,2
5000066,-4,X
5000066,-5,X
5000066,-6,X
5000066,-7,C
5000066,-8,X
5000066,-9,0
5000066,-10,C
5000066,-11,C
5000066,-12,X
5000066,-13,X
5000066,-14,X
5000066,-15,C
5000066,-16,X
5000066,-17,X
5000066,-18,X
5000066,-19,C
5000067,0,X
5000067,-1,X
5000067,-2,X
5000067,-3,C
5000067,-4,C
5000067,-5,C
5000067,-6,C
5000067,-7,C
5000068,0,C
5000068,-1,C
5000068,-2,C
5000068,-3,C
5000068,-4,X
5000068,-5,X
5000068,-6,C
5000068,-7,X
5000068,-8,0
5000069,0,C
5000069,-1,C
5000069,-2,C
5000069,-3,C
5000069,-4,C
5000069,-5,X
5000069,-6,X
5000069,-7,C
5000069,-8,X
5000069,-9,C
5000069,-10,C
5000069,-11,C
5000069,-12,X
5000069,-13,X
5000069,-14,C
5000070,0,1
5000070,-1,1
5000070,-2,X
5000070,-3,X
5000070,-4,X
5000070,-5,C
5000070,-6,C
5000070,-7,C
5000070,-8,X
5000070,-9,2
5000070,-10,3
5000070,-11,0
5000070,-12,X
5000070,-13,C
5000070,-14,C
5000070,-15,C
5000070,-16,C
5000070,-17,C
5000070,-18,0
5000070,-19,X
5000070,-20,X
5000070,-21,X
5000071,0,C
5000071,-1,X
5000071,-2,X
5000071,-3,C
5000071,-4,X
5000071,-5,X
5000071,-6,C
5000071,-7,C
5000071,-8,C
5000071,-9,C
5000071,-10,C
5000072,0,X
5000072,-1,X
5000072,-2,C
5000072,-3,C
5000072,-4,X
5000072,-5,X
5000072,-6,X
5000072,-7,X
5000072,-8,C
5000072,-9,X
5000072,-10,X
5000072,-11,X
5000072,-12,C
5000072,-13,C
5000072,-14,C
5000073,0,C
5000073,-1,C
5000073,-2,X
5000073,-3,C
5000073,-4,X
5000073,-5,X
5000073,-6,X
5000073,-7,X
5000073,-8,C
5000073,-9,X
5000073,-10,X
5000073,-11,C
5000073,-12,C
5000073,-13,X
5000073,-14,X
5000073,-15,X
5000073,-16,C
5000073,-17,X
5000073,-18,C
5000073,-19,C
5000073,-20,C
5000074,0,C
5000074,-1,C
5000074,-2,C
5000074,-3,C
5000074,-4,X
5000074,-5,0
5000074,-6,X
5000074,-7,C
5000074,-8,X
5000074,-9,0
5000074,-10,X
5000074,-11,3
5000074,-12,X
5000074,-13,C
5000074,-14,C
5000074,-15,1
5000074,-16,X
5000074,-17,X
5000074,-18,X
5000075,0,X
5000075,-1,X
5000075,-2,C
5000075,-3,X
5000075,-4,X
5000075,-5,X
5000075,-6,C
5000075,-7,C
5000075,-8,X
5000075,-9,C
5000075,-10,X
5000075,-11,0
5000075,-12,C
5000075,-13,X
5000075,-14,C
5000075,-15,C
5000075,-16,X
5000075,-17,0
5000075,-18,X
5000075,-19,X
5000075,-20,0
5000075,-21,C
5000076,0,X
5000076,-1,C
5000076,-2,C
5000076,-3,X
5000076,-4,C
5000076,-5,X
5000077,0,X
5000077,-1,X
5000077,-2,X
5000077,-3,C
5000077,-4,C
5000077,-5,0
5000077,-6,C
5000077,-7,C
5000077,-8,X
5000077,-9,C
5000077,-10,X
5000077,-11,X
5000077,-12,C
5000077,-13,C
5000077,-14,X
5000077,-15,X
5000077,-16,0
5000077,-17,X
5000077,-18,C
5000077,-19,C
5000077,-20,X
5000077,-21,C
5000077,-22,X
5000077,-23,X
5000078,0,X
5000078,-1,X
5000078,-2,X
5000078,-3,X
5000078,-4,2
5000078,-5,C
5000078,-6,C
5000078,-7,0
5000078,-8,C
5000078,-9,C
5000078,-10,X
5000078,-11,C
5000078,-12,X
5000079,0,C
5000079,-1,X
5000079,-2,C
5000079,-3,X
5000079,-4,C
5000079,-5,C
5000079,-6,C
5000079,-7,C
5000079,-8,C
5000080,0,X
5000080,-1,C
5000080,-2,X
5000080,-3,X
5000080,-4,X
5000080,-5,C
5000080,-6,X
5000080,-7,X
5000080,-8,X
5000080,-9,C
5000081,0,C
5000081,-1,X
5000081,-2,X
5000081,-3,C
5000081,-4,X
5000081,-5,X
5000081,-6,X
5000081,-7,X
5000081,-8,X
5000081,-9,X
5000081,-10,0
5000082,0,X
5000082,-1,C
5000082,-2,X
5000082,-3,C
5000082,-4,X
5000082,-5,C
5000082,-6,C
5000082,-7,X
5000082,-8,0
5000082,-9,X
5000082,-10,C
5000082,-11,X
5000082,-12,C
5000082,-13,C
5000082,-14,C
5000082,-15,X
5000082,-16,C
5000082,-17,C
5000083,0,X
5000083,-1,X
5000083,-2,C
5000083,-3,X
5000083,-4,C
5000083,-5,C
5000083,-6,C
5000083,-7,C
5000083,-8,X
5000083,-9,C
5000083,-10,C
5000083,-11,C
5000083,-12,C
5000083,-13,X
5000084,0,X
5000084,-1,X
5000084,-2,X
5000084,-3,C
5000084,-4,X
5000084,-5,X
5000084,-6,X
5000084,-7,C
5000084,-8,X
5000085,0,C
5000085,-1,C
5000085,-2,X
5000085,-3,X
5000085,-4,X
5000085,-5,X
5000085,-6,C
5000085,-7,C
5000085,-8,4
5000085,-9,X
5000085,-10,0
5000085,-11,X
5000085,-12,C
5000085,-13,C
5000085,-14,C
5000085,-15,C
5000085,-16,1
5000085,-17,1
5000085,-18,C
5000085,-19,1
5000086,0,C
5000086,-1,C
5000086,-2,X
5000086,-3,C
5000086,-4,X
5000086,-5,C
5000086,-6,C
5000086,-7,X
5000086,-8,X
5000086,-9,X
5000086,-10,C
5000086,-11,X
5000086,-12,C
5000086,-13,X
5000086,-14,X
5000086,-15,X
5000087,0,C
5000087,-1,C
5000087,-2,C
5000087,-3,C
5000087,-4,X
5000087,-5,C
5000087,-6,C
5000087,-7,X
5000087,-8,C
5000087,-9,X
5000087,-10,C
5000087,-11,C
5000087,-12,X
5000087,-13,C
5000087,-14,C
5000087,-15,X
5000087,-16,C
5000087,-17,X
5000087,-18,C
5000087,-19,X
5000087,-20,C
5000087,-21,X
5000087,-22,X
5000088,0,C
5000088,-1,X
5000088,-2,X
5000088,-3,C
5000088,-4,X
5000088,-5,C
5000088,-6,C
5000088,-7,C
5000088,-8,C
5000088,-9,X
5000089,0,X
5000089,-1,C
5000089,-2,C
5000089,-3,X
5000089,-4,C
5000089,-5,C
5000089,-6,C
5000089,-7,X
5000089,-8,C
5000089,-9,C
5000089,-10,X
5000089,-11,X
5000089,-12,C
5000089,-13,C
5000089,-14,C
5000090,0,X
5000090,-1,1
5000090,-2,X
5000090,-3,C
5000090,-4,X
5000090,-5,C
5000090,-6,0
5000090,-7,4
5000090,-8,X
5000090,-9,C
5000090,-10,X
5000090,-11,X
5000090,-12,5
5000090,-13,X
5000090,-14,X
5000090,-15,C
5000091,0,X
5000091,-1,C
5000091,-2,C
5000091,-3,C
5000091,-4,X
5000091,-5,C
5000091,-6,C
5000091,-7,0
5000091,-8,X
5000091,-9,X
5000091,-10,X
5000091,-11,X
5000092,0,X
5000092,-1,X
5000092,-2,X
5000092,-3,X
5000092,-4,C
5000092,-5,X
5000092,-6,C
5000092,-7,C
5000092,-8,C
5000092,-9,X
5000092,-10,C
5000092,-11,C
5000093,0,C
5000093,-1,X
5000093,-2,C
5000093,-3,C
5000093,-4,X
5000093,-5,X
5000093,-6,C
5000093,-7,C
5000093,-8,X
5000093,-9,X
5000093,-10,C
5000093,-11,C
5000093,-12,X
5000093,-13,X
5000093,-14,C
5000093,-15,X
5000093,-16,C
5000093,-17,X
5000093,-18,X
5000093,-19,X
5000093,-20,C
5000093,-21,C
5000093,-22,X
5000093,-23,X
5000094,0,X
5000094,-1,C
5000094,-2,C
5000094,-3,X
5000094,-4,X
5000094,-5,X
5000094,-6,0
5000094,-7,X
5000094,-8,X
5000094,-9,C
5000094,-10,X
5000094,-11,X
5000094,-12,C
5000094,-13,X
5000094,-14,C
5000094,-15,C
5000094,-16,X
5000094,-17,C
5000094,-18,2
5000094,-19,C
5000094,-20,1
5000095,0,C
5000095,-1,X
5000095,-2,3
5000095,-3,X
5000095,-4,X
5000095,-5,X
5000095,-6,C
5000095,-7,0
5000095,-8,X
5000096,0,X
5000096,-1,C
5000096,-2,X
5000096,-3,C
5000096,-4,C
5000096,-5,C
5000096,-6,X
5000096,-7,X
5000096,-8,X
5000096,-9,X
5000096,-10,X
5000096,-11,C
5000096,-12,C
5000096,-13,X
5000096,-14,X
5000096,-15,X
5000096,-16,X
5000096,-17,X
5000096,-18,X
5000096,-19,X
5000096,-20,X
5000096,-21,C
5000096,-22,C
5000097,0,X
5000097,-1,X
5000097,-2,X
5000097,-3,C
5000097,-4,X
5000097,-5,X
5000098,0,X
5000098,-1,X
5000098,-2,C
5000098,-3,C
5000098,-4,1
5000098,-5,C
5000098,-6,X
5000098,-7,X
5000098,-8,C
5000098,-9,C
5000098,-10,5
5000098,-11,0
5000098,-12,X
5000098,-13,X
5000098,-14,X
5000098,-15,X
5000099,0,X
5000099,-1,C
5000099,-2,C
5000099,-3,X
5000099,-4,C
5000099,-5,X
5000099,-6,C
5000099,-7,C
5000099,-8,C
5000099,-9,C
5000099,-10,X
5000099,-11,C
5000100,0,C
5000100,-1,X
5000100,-2,C
5000100,-3,C
5000100,-4,C
5000100,-5,C
5000100,-6,C
5000100,-7,X
5000100,-8,C
5000100,-9,X
5000100,-10,C
5000100,-11,C
5000100,-12,C
5000100,-13,X
5000100,-14,C
5000101,0,X
5000101,-1,C
5000101,-2,X
5000101,-3,C
5000101,-4,X
5000101,-5,C
5000101,-6,C
5000101,-7,X
5000101,-8,C
5000101,-9,X
5000101,-10,X
5000101,-11,X
5000101,-12,C
5000101,-13,C
5000101,-14,C
5000101,-15,X
5000101,-16,C
5000101,-17,C
5000101,-18,X
5000101,-19,X
5000101,-20,X
5000101,-21,C
5000101,-22,X
5000102,0,0
5000102,-1,X
5000102,-2,X
5000102,-3,X
5000102,-4,X
5000102,-5,0
5000102,-6,C
5000103,0,X
