ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000037,M,N,N,0,39935.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10274,-5212,1,0,0,0,Sales staff,1
5000038,F,Y,Y,0,7296.26,Student,Secondary / secondary special,Civil marriage,Municipal apartment,-9184,-4610,1,0,1,0,Core staff,2
5000039,M,N,Y,0,38057.69,Pensioner,Secondary / secondary special,Separated,House / apartment,-24824,365243,1,0,0,0,Sales staff,2
5000040,M,N,Y,0,69175.7,Pensioner,Secondary / secondary special,Married,With parents,-25256,365243,1,0,1,0,Laborers,1
5000041,F,Y,N,1,67189.23,Working,Incomplete higher,Married,House / apartment,-21453,-4555,1,0,1,0,Laborers,2
5000042,M,Y,Y,0,41700.99,Working,Higher education,Married,House / apartment,-10723,-1468,1,0,0,0,Drivers,2
5000043,F,N,N,1,38670.39,Commercial associate,Secondary / secondary special,Married,Rented apartment,-13538,-818,1,1,0,0,Sales staff,2
5000044,M,N,Y,1,140888.67,State servant,Incomplete higher,Married,House / apartment,-25108,-2855,1,0,0,0,nan,3
5000045,F,Y,N,1,77488.7,Commercial associate,Academic degree,Married,House / apartment,-12509,-1778,1,0,0,0,Core staff,3
5000046,M,N,N,0,31048.08,Working,Secondary / secondary special,Single / not married,House / apartment,-14044,-2821,1,0,0,0,Drivers,2
5000047,F,Y,Y,1,108885.61,Working,Higher education,Married,House / apartment,-12294,-2662,1,0,0,1,High skill tech staff,2
5000048,F,N,Y,0,45878.19,Working,Secondary / secondary special,Married,With parents,-13239,-5168,1,0,0,0,Accountants,1
5000049,M,Y,N,1,19686.55,Working,Secondary / secondary special,Married,House / apartment,-14145,-3757,1,0,1,0,Sales staff,3
5000050,F,Y,N,1,132976.58,Commercial associate,Lower secondary,Married,House / apartment,-23887,-1966,1,1,0,0,Managers,3
5000051,F,Y,Y,0,82896.42,Working,Higher education,Civil marriage,With parents,-22640,-5498,1,1,0,0,Accountants,1
5000052,F,N,N,0,20980.08,Pensioner,Higher education,Married,House / apartment,-10956,365243,1,1,0,1,Medicine staff,2
5000053,F,N,N,1,96461.24,State servant,Secondary / secondary special,Single / not married,Rented apartment,-23685,-2151,1,0,0,0,Core staff,3
5000054,F,N,N,0,41757.3,State servant,Higher education,Married,House / apartment,-18523,-2170,1,1,0,0,Core staff,1
5000055,F,Y,N,0,31262.59,State servant,Secondary / secondary special,Single / not married,With parents,-8771,-4055,1,0,0,1,Core staff,2
5000056,M,Y,Y,1,32817.4,Working,Secondary / secondary special,Married,House / apartment,-17161,-3743,1,0,0,0,Managers,2
5000057,M,Y,N,1,123200.51,State servant,Secondary / secondary special,Married,With parents,-24120,-5150,1,1,1,1,Accountants,2
5000058,M,N,Y,0,123061.24,Working,Secondary / secondary special,Single / not married,House / apartment,-22911,-3237,1,0,1,0,Drivers,1
5000059,M,N,Y,0,24900.5,Pensioner,Secondary / secondary special,Married,House / apartment,-13440,365243,1,0,1,0,Core staff,2
5000060,M,N,Y,1,137295.78,Working,Higher education,Married,House / apartment,-10398,-898,1,0,0,0,Laborers,3
5000061,M,Y,Y,0,17515.61,Working,Secondary / secondary special,Single / not married,House / apartment,-10149,-2479,1,0,1,1,Managers,2
5000062,F,N,Y,1,96152.41,Working,Higher education,Married,House / apartment,-21146,-738,1,0,1,1,High skill tech staff,2
5000063,M,Y,Y,1,90569.93,Working,Secondary / secondary special,Single / not married,House / apartment,-20897,-5516,1,1,1,0,Managers,3
5000064,M,N,Y,0,101385.84,State servant,Secondary / secondary special,Married,Office apartment,-7369,-6650,1,0,1,0,Sales staff,2
5000065,F,Y,N,0,32985.42,Pensioner,Secondary / secondary special,Married,House / apartment,-9992,365243,1,0,0,0,Laborers,2
5000066,M,N,Y,0,82215.51,Working,Higher education,Married,With parents,-13331,-2745,1,0,0,0,Managers,1
5000067,F,Y,Y,1,46150.49,Working,Higher education,Married,House / apartment,-14709,-5358,1,0,0,1,Drivers,2
5000068,M,N,Y,0,61973.37,Commercial associate,Secondary / secondary special,Married,House / apartment,-21476,-1577,1,0,1,0,Accountants,2
5000069,F,N,Y,1,45528.91,Working,Secondary / secondary special,Married,House / apartment,-12008,-2216,1,0,0,0,High skill tech staff,3
5000070,F,N,Y,0,37489.19,Pensioner,Higher education,Single / not married,House / apartment,-16996,365243,1,1,1,0,Managers,2
5000071,M,N,Y,1,81682.53,Working,Secondary / secondary special,Civil marriage,House / apartment,-23340,-4747,1,0,1,0,Accountants,2
5000072,M,N,N,0,67499.18,Commercial associate,Secondary / secondary special,Single / not married,With parents,-15526,-2811,1,0,0,0,Laborers,1
5000073,F,N,N,1,110273.36,State servant,Secondary / secondary special,Married,Office apartment,-18669,-2776,1,0,0,0,Core staff,2
5000074,F,N,N,1,54807.87,Working,Secondary / secondary special,Married,House / apartment,-10553,-3803,1,0,1,1,High skill tech staff,3
5000075,F,Y,Y,0,131411.73,Working,Secondary / secondary special,Married,House / apartment,-9960,-6802,1,0,1,1,Sales staff,2
5000076,F,N,Y,0,89414.19,State servant,Secondary / secondary special,Married,House / apartment,-11703,-4552,1,0,0,0,Managers,2
5000077,M,N,Y,1,49500.1,State servant,Secondary / secondary special,Single / not married,House / apartment,-8206,-5218,1,0,0,0,Medicine staff,2
5000078,M,Y,N,0,21211.06,Student,Secondary / secondary special,Civil marriage,House / apartment,-17916,-4524,1,1,0,0,nan,1
5000079,M,N,Y,0,41988.44,Commercial associate,Secondary / secondary special,Married,Office apartment,-20820,-4387,1,0,0,0,nan,2
5000080,F,Y,Y,1,57953.9,Working,Incomplete higher,Married,With parents,-16237,-5151,1,1,0,0,Sales staff,2
5000081,F,Y,Y,0,31503.89,Working,Secondary / secondary special,Separated,Office apartment,-8088,-5314,1,0,0,0,Drivers,1
5000082,M,Y,Y,0,89202.68,Working,Secondary / secondary special,Married,House / apartment,-16161,-4411,1,0,1,1,Drivers,2
5000083,M,Y,N,0,52497.45,Commercial associate,Secondary / secondary special,Separated,House / apartment,-21005,-2024,1,0,0,0,Core staff,2
5000084,M,N,N,1,57528.84,Working,Secondary / secondary special,Civil marriage,House / apartment,-22681,-5201,1,0,1,1,Sales staff,2
5000085,M,N,N,0,21950.85,Commercial associate,Secondary / secondary special,Married,House / apartment,-25319,-6825,1,1,1,0,Sales staff,1
5000086,F,N,Y,1,45641.92,State servant,Secondary / secondary special,Married,With parents,-18300,-375,1,0,0,0,Drivers,2
5000087,F,N,N,0,47899.13,State servant,Incomplete higher,Separated,Municipal apartment,-8028,-5426,1,0,0,0,Managers,1
5000088,F,Y,N,0,96449.98,Working,Higher education,Single / not married,House / apartment,-24083,-5336,1,0,1,0,Medicine staff,1
5000089,F,N,N,1,80618.57,Working,Higher education,Married,House / apartment,-11345,-2961,1,0,1,1,Core staff,2
5000090,M,N,Y,0,50385.34,Pensioner,Secondary / secondary special,Married,House / apartment,-18017,365243,1,0,0,0,Drivers,1
5000091,F,N,Y,0,59825.78,Working,Secondary / secondary special,Single / not married,House / apartment,-21402,-215,1,1,1,0,High skill tech staff,2
5000092,F,N,N,1,55435.06,Pensioner,Secondary / secondary special,Married,House / apartment,-15985,365243,1,1,1,1,Laborers,2
5000093,F,N,Y,1,50020.58,Pensioner,Higher education,Married,House / apartment,-12082,365243,1,0,1,1,Drivers,2
5000094,F,N,N,1,26388.85,Working,Secondary / secondary special,Married,House / apartment,-20257,-2970,1,1,1,1,Managers,2
5000095,F,N,N,0,61189.04,Working,Higher education,Married,Municipal apartment,-25015,-1409,1,1,1,0,Core staff,2
5000096,F,Y,Y,0,48172.19,Working,Secondary / secondary special,Married,With parents,-10392,-714,1,0,1,0,nan,2
5000097,M,Y,Y,0,14098.29,Commercial associate,Secondary / secondary special,Married,House / apartment,-11491,-6780,1,0,0,0,Sales staff,1
5000098,M,N,Y,1,31025.3,Working,Secondary / secondary special,Married,House / apartment,-9375,-6766,1,0,1,0,Laborers,2
5000099,M,N,N,0,79857.43,Pensioner,Secondary / secondary special,Married,House / apartment,-18920,365243,1,1,0,0,Managers,1
5000100,M,N,N,1,45489.77,State servant,Secondary / secondary special,Separated,House / apartment,-10636,-3462,1,1,1,0,Sales staff,2
5000101,F,N,Y,0,46751.17,Working,Secondary / secondary special,Married,House / apartment,-8395,-2258,1,0,1,0,Core staff,2
5000102,M,Y,Y,0,19313.02,State servant,Secondary / secondary special,Married,With parents,-21577,-338,1,0,1,0,Core staff,2
5000103,F,Y,Y,0,43445.06,Commercial associate,Higher education,Married,House / apartment,-12337,-2761,1,0,1,0,High skill tech staff,1
5000104,F,N,N,1,39623.1,Pensioner,Secondary / secondary special,Married,House / apartment,-14272,365243,1,0,1,0,Core staff,3
5000105,M,N,Y,0,39769.8,Working,Secondary / secondary special,Separated,House / apartment,-10447,-7134,1,0,0,0,Managers,2
5000106,M,Y,Y,0,29762.27,Working,Secondary / secondary special,Married,House / apartment,-25381,-3904,1,0,1,0,Laborers,1
5000107,F,N,N,0,96677.12,Working,Incomplete higher,Married,House / apartment,-22668,-4560,1,0,1,1,Laborers,2
5000108,M,N,Y,0,35756.45,Working,Secondary / secondary special,Separated,House / apartment,-21439,-3401,1,0,0,0,High skill tech staff,1
5000109,M,N,Y,0,40947.44,Working,Academic degree,Single / not married,House / apartment,-14429,-2708,1,0,1,0,Core staff,2
5000110,M,N,Y,0,32448.97,Pensioner,Secondary / secondary special,Married,House / apartment,-11846,365243,1,0,0,0,Accountants,1
5000111,M,Y,Y,1,28875.51,Working,Lower secondary,Separated,Office apartment,-25374,-4777,1,1,1,0,Core staff,2
5000112,F,N,Y,0,35649.31,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12942,-2987,1,0,0,0,Core staff,1
5000113,F,N,N,0,59614.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15182,-2986,1,0,0,1,Drivers,2
5000114,F,N,N,1,47703.44,Working,Higher education,Married,House / apartment,-18983,-2837,1,0,0,1,Laborers,2
5000115,F,Y,N,3,34729.72,Working,Academic degree,Separated,House / apartment,-18899,-4957,1,0,0,1,Sales staff,5
5000116,F,N,N,0,32775.23,Student,Higher education,Married,House / apartment,-15889,-3324,1,1,1,0,Laborers,2
5000117,M,Y,Y,0,90473.19,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10571,-3107,1,0,1,0,Core staff,1
5000118,F,Y,Y,3,43793.16,Working,Secondary / secondary special,Married,House / apartment,-25375,-5700,1,1,1,0,Laborers,5
5000119,F,N,Y,0,68040.9,State servant,Secondary / secondary special,Married,House / apartment,-16883,-5378,1,1,0,0,Accountants,1
5000120,F,Y,N,0,41522.58,Working,Secondary / secondary special,Married,House / apartment,-20856,-6336,1,1,1,1,Managers,2
5000121,F,N,N,0,25943.18,Commercial associate,Secondary / secondary special,Married,House / apartment,-6649,-4688,1,0,0,1,Accountants,1
5000122,M,Y,Y,0,73378.82,Working,Secondary / secondary special,Married,Office apartment,-23747,-2544,1,0,1,0,nan,1
5000123,M,N,Y,1,46880.93,Working,Secondary / secondary special,Married,House / apartment,-17117,-4405,1,0,0,0,Managers,3
5000124,M,Y,Y,0,68207.73,Working,Higher education,Separated,Office apartment,-20828,-5141,1,0,1,0,nan,1
5000125,M,Y,Y,2,49067.05,State servant,Secondary / secondary special,Single / not married,House / apartment,-22637,-986,1,0,1,0,Laborers,3
5000126,F,Y,N,0,47433.36,State servant,Secondary / secondary special,Married,House / apartment,-12006,-1056,1,0,1,0,Laborers,2
5000127,F,N,Y,1,52256.63,Working,Secondary / secondary special,Single / not married,Rented apartment,-16812,-6548,1,0,1,0,Managers,2
5000128,M,N,N,0,52709.41,Working,Secondary / secondary special,Single / not married,House / apartment,-7056,-6272,1,0,0,0,Laborers,2
5000129,F,Y,Y,0,86559.65,Working,Secondary / secondary special,Married,House / apartment,-9282,-1155,1,0,0,1,Medicine staff,1
5000130,M,N,N,1,59704.77,Working,Secondary / secondary special,Single / not married,House / apartment,-22799,-2587,1,0,0,0,Managers,2
5000131,M,N,N,1,70751.16,Working,Lower secondary,Single / not married,House / apartment,-11370,-459,1,1,1,0,Medicine staff,3
5000132,M,N,N,1,96584.05,Working,Secondary / secondary special,Married,Office apartment,-21161,-5996,1,1,0,0,Core staff,2
5000133,M,Y,Y,1,23739.07,Working,Secondary / secondary special,Married,House / apartment,-21365,-2035,1,0,0,0,Drivers,2
5000134,F,N,Y,0,87073.16,Working,Secondary / secondary special,Married,Office apartment,-10619,-5113,1,1,0,0,Core staff,1
5000135,M,Y,Y,1,82210.43,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12283,-6614,1,0,0,1,Managers,3
5000136,F,Y,Y,1,64124.01,State servant,Secondary / secondary special,Married,House / apartment,-21560,-6378,1,1,0,0,Medicine staff,2
5000137,F,N,N,0,95649.79,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18328,-6155,1,1,1,0,Core staff,2
5000138,M,N,N,2,54392.63,Commercial associate,Secondary / secondary special,Married,House / apartment,-17462,-2153,1,1,1,0,Sales staff,4
5000139,F,Y,Y,2,83577.35,Working,Higher education,Single / not married,House / apartment,-16373,-5295,1,0,0,0,Managers,4
5000140,F,Y,Y,1,39591.33,Working,Higher education,Separated,House / apartment,-24051,-4720,1,1,1,0,Drivers,2
5000141,M,N,Y,0,32458.58,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-20004,-4384,1,0,1,0,Accountants,2
5000142,F,N,N,0,101191.2,Commercial associate,Higher education,Single / not married,Municipal apartment,-21059,-7030,1,0,0,1,Laborers,1
5000143,M,Y,N,0,47512.11,Working,Secondary / secondary special,Married,Municipal apartment,-13124,-4200,1,0,0,0,Managers,2
5000144,M,N,Y,0,48956.63,Working,Secondary / secondary special,Single / not married,House / apartment,-12223,-1272,1,0,0,0,Laborers,1
5000145,M,Y,Y,2,35948.73,State servant,Secondary / secondary special,Single / not married,With parents,-16404,-3385,1,0,0,0,Laborers,4
5000146,F,Y,N,1,73070.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-16490,-3047,1,0,0,1,Managers,3
5000147,F,N,N,0,50578.94,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9172,-1073,1,0,0,0,Laborers,2
5000148,M,Y,Y,0,40563.69,Pensioner,Higher education,Married,House / apartment,-21143,365243,1,0,0,0,Laborers,2
5000149,M,Y,N,3,51192.91,Working,Higher education,Single / not married,House / apartment,-10324,-6144,1,1,0,0,Laborers,5
5000150,F,N,N,0,44419.65,Working,Higher education,Married,With parents,-15540,-6687,1,0,0,0,Sales staff,2
5000151,M,N,Y,1,46893.49,State servant,Secondary / secondary special,Married,House / apartment,-18578,-5314,1,1,0,0,Laborers,2
5000152,M,Y,Y,0,83576.17,Working,Secondary / secondary special,Married,House / apartment,-13830,-6240,1,0,1,0,Sales staff,1
5000153,F,N,Y,1,39623.05,Working,Secondary / secondary special,Married,House / apartment,-9675,-3456,1,0,0,0,Medicine staff,2
5000154,F,N,Y,0,63670.28,Commercial associate,Incomplete higher,Single / not married,House / apartment,-8595,-4631,1,0,1,0,nan,1
5000155,M,Y,Y,0,56560.54,Working,Higher education,Single / not married,House / apartment,-8172,-1170,1,0,0,0,Managers,2
5000156,F,N,Y,0,59802.86,Commercial associate,Higher education,Single / not married,House / apartment,-12936,-2961,1,1,0,0,nan,2
5000157,F,Y,Y,0,85234.24,Working,Secondary / secondary special,Widow,House / apartment,-7330,-3167,1,0,1,0,High skill tech staff,1
5000158,M,N,Y,0,33203.01,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13582,-2475,1,0,1,0,Laborers,2
5000159,F,N,Y,0,58966.47,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22707,-3461,1,1,0,0,High skill tech staff,1
5000160,M,N,Y,0,43598.79,Working,Higher education,Single / not married,House / apartment,-10511,-208,1,0,1,0,Drivers,2
5000161,F,Y,N,2,82258.08,Working,Higher education,Married,Municipal apartment,-22377,-2059,1,0,0,0,Medicine staff,4
5000162,F,N,N,2,52065.67,Working,Secondary / secondary special,Married,House / apartment,-15775,-102,1,1,0,0,Managers,3
5000163,F,N,Y,0,83452.14,Working,Secondary / secondary special,Single / not married,House / apartment,-22599,-4287,1,0,1,0,Managers,1
5000164,M,Y,Y,0,88691.03,Working,Higher education,Single / not married,House / apartment,-18785,-6209,1,1,0,0,Sales staff,1
5000165,F,Y,N,0,50854.26,Working,Secondary / secondary special,Single / not married,Municipal apartment,-15122,-7123,1,0,0,1,Laborers,2
5000166,M,Y,Y,0,57903.68,Pensioner,Higher education,Single / not married,House / apartment,-10606,365243,1,0,1,0,Drivers,1
5000167,M,N,N,0,89253.37,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-23356,-5670,1,0,0,0,nan,1
5000168,M,N,Y,0,32512.33,Working,Secondary / secondary special,Married,With parents,-19446,-310,1,0,1,0,Laborers,2
5000169,F,Y,N,1,90244.14,Working,Higher education,Married,House / apartment,-12963,-5176,1,0,0,0,Laborers,2
5000170,F,N,Y,1,56037.04,Working,Secondary / secondary special,Single / not married,House / apartment,-12134,-2354,1,1,0,0,Sales staff,3
5000171,M,N,N,1,76374.56,Commercial associate,Secondary / secondary special,Married,House / apartment,-11127,-3647,1,1,0,0,Accountants,2
5000172,F,N,N,2,34685.49,Working,Lower secondary,Widow,House / apartment,-25543,-351,1,0,0,1,Managers,3
5000173,M,Y,N,1,50061.48,Working,Academic degree,Civil marriage,House / apartment,-24227,-4994,1,1,0,0,Managers,2
5000174,F,N,N,1,30779.47,Working,Secondary / secondary special,Married,House / apartment,-7787,-2137,1,1,0,0,Medicine staff,3
5000175,M,Y,Y,0,11104.07,State servant,Secondary / secondary special,Married,With parents,-24268,-7080,1,0,1,0,Core staff,2
5000176,F,Y,Y,0,44531.02,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22410,-4299,1,0,1,0,nan,1
5000177,M,N,Y,0,95500.03,Pensioner,Secondary / secondary special,Married,House / apartment,-16999,365243,1,0,1,0,nan,2
5000178,F,Y,Y,1,60328.91,Working,Lower secondary,Married,House / apartment,-12135,-5762,1,0,0,0,Accountants,2
5000179,M,Y,Y,0,56574.14,Working,Secondary / secondary special,Married,House / apartment,-23354,-923,1,0,0,0,Core staff,2
5000180,M,Y,N,1,75543.8,Working,Secondary / secondary special,Civil marriage,House / apartment,-10588,-4569,1,0,0,1,Sales staff,2
5000181,M,Y,N,0,50366.76,State servant,Incomplete higher,Civil marriage,House / apartment,-17477,-3973,1,1,0,0,Sales staff,2
5000182,F,Y,Y,0,41094.89,Working,Secondary / secondary special,Married,Office apartment,-15358,-1284,1,0,0,0,Laborers,1
5000183,F,N,Y,1,55924.53,Working,Higher education,Civil marriage,House / apartment,-15580,-2998,1,1,0,0,Laborers,2
5000184,M,Y,Y,0,35199.94,Working,Secondary / secondary special,Separated,House / apartment,-20899,-4449,1,1,0,0,Laborers,2
5000185,F,Y,N,0,38811.0,Commercial associate,Lower secondary,Married,House / apartment,-7552,-6681,1,1,1,0,Drivers,2
5000186,F,Y,Y,0,63275.35,Working,Higher education,Married,Municipal apartment,-13360,-6456,1,0,0,0,nan,1
5000187,F,N,N,1,55510.01,Working,Incomplete higher,Single / not married,Rented apartment,-13105,-2042,1,0,0,0,Laborers,3
5000188,F,N,N,0,30272.15,Student,Lower secondary,Married,With parents,-22192,-2302,1,0,0,0,Drivers,1
5000189,M,Y,N,0,77737.38,Working,Secondary / secondary special,Married,House / apartment,-23523,-3893,1,1,1,0,Laborers,2
5000190,M,N,Y,0,31402.63,Commercial associate,Secondary / secondary special,Married,Rented apartment,-14489,-445,1,0,1,0,Managers,2
5000191,F,Y,Y,0,42937.29,Working,Secondary / secondary special,Married,House / apartment,-17165,-2146,1,0,0,0,Sales staff,1
5000192,F,Y,N,0,25186.22,Pensioner,Higher education,Married,House / apartment,-25110,365243,1,0,0,1,Laborers,2
5000193,F,Y,N,1,15157.56,Working,Secondary / secondary special,Single / not married,House / apartment,-10061,-67,1,0,1,1,Sales staff,3
5000194,M,Y,N,0,56082.08,Working,Incomplete higher,Married,Municipal apartment,-10790,-890,1,0,1,0,Accountants,1
5000195,M,Y,Y,0,41314.41,Pensioner,Secondary / secondary special,Single / not married,With parents,-10223,365243,1,1,1,0,Laborers,1
5000196,F,N,N,0,65805.78,Working,Higher education,Single / not married,With parents,-19015,-871,1,0,0,0,Managers,1
5000197,F,Y,Y,0,62654.94,State servant,Secondary / secondary special,Married,Municipal apartment,-15372,-948,1,0,1,0,Core staff,2
5000198,F,N,N,0,52707.54,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16027,-1556,1,1,1,0,nan,2
5000199,F,Y,N,0,38586.6,Commercial associate,Secondary / secondary special,Married,With parents,-20058,-6097,1,0,1,0,nan,1
5000200,F,Y,N,1,41557.98,Working,Secondary / secondary special,Single / not married,House / apartment,-7756,-1619,1,0,1,1,High skill tech staff,3
5000201,M,N,N,1,113447.74,Commercial associate,Secondary / secondary special,Married,House / apartment,-25149,-95,1,0,0,0,Drivers,2
5000202,M,N,Y,0,72527.59,Commercial associate,Secondary / secondary special,Married,House / apartment,-16077,-6810,1,0,0,0,Managers,2
5000203,F,Y,N,1,30909.32,Commercial associate,Secondary / secondary special,Married,Rented apartment,-10612,-3416,1,1,0,0,Accountants,2
5000204,F,N,N,0,67568.35,Working,Higher education,Married,Rented apartment,-21275,-1350,1,1,0,0,nan,2
5000205,M,Y,Y,1,91307.85,State servant,Secondary / secondary special,Married,House / apartment,-10300,-1452,1,0,1,0,nan,2
5000206,M,Y,N,2,69051.15,Working,Secondary / secondary special,Civil marriage,House / apartment,-18966,-861,1,0,0,0,Accountants,3
5000207,F,Y,Y,0,96218.3,Working,Incomplete higher,Single / not married,House / apartment,-6914,-342,1,0,0,0,Laborers,1
5000208,M,Y,N,0,13045.96,Student,Higher education,Widow,House / apartment,-24347,-7196,1,0,1,0,Medicine staff,1
5000209,M,Y,Y,0,64844.42,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-6591,-5240,1,1,1,0,Managers,1
5000210,F,Y,N,0,54483.12,Working,Higher education,Civil marriage,House / apartment,-15978,-4792,1,1,0,0,Managers,1
